#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
1181,NEGATION,negation,A2,N/A,FORM: MODAL VERBS,Can use negative forms of modal verbs. ► modal verbs,"I'm sorry I can't come to your wedding because I am very sick. (A2 WAYSTAGE; 2007; French; Pass)

Sorry but I won't be in town on Wednesday 17th. (A2 WAYSTAGE; 2007; Polish; Pass)

You shouldn't wear formal clothes. (Argentina; A2 WAYSTAGE; 2006; Spanish - Latin American; Pass)"
1182,NEGATION,negation,A2,N/A,FORM: PRONOUNS,Can use a limited range of determiners as pronouns and indefinite pronouns in negative contexts.  ► Pronouns: quantity,"I bought a shirt, because I haven't got any. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

As regards close friends, I don't have many. (Argentina; B1 THRESHOLD; 2009; Spanish - Latin American; Pass)

Come at 5.00 pm. Don't bring anything. (Cyprus; A2 WAYSTAGE; 2009; Greek; Pass)"
1183,NEGATION,negation,A2,N/A,FORM: DETERMINERS 'NO',Can use determiner 'no' with nouns.  ► Determiners: quantity,"I bought these clothes because I need them for my new job, but now I have no money because they cost £250. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

I had no clothes to wear at John's party, so I went shopping yesterday. (Greece; A2 WAYSTAGE; 2008; Greek; Pass)"
1184,NEGATION,negation,A2,N/A,"FORM: DETERMINERS 'ANY', 'MUCH', 'MANY'","Can use determiners 'any', 'much' and 'many' with nouns in negative contexts. ► Determiners: quantity","I bought them because I didn't have any shirts or hats. (Portugal; A2 WAYSTAGE; 2008; Portuguese; Pass)

I have only spent £25 because I haven't much money. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

I'm in Bilbao, and here I haven't got many things to do. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)"
1185,NEGATION,negation,B1,N/A,"FORM: AUXILIARY VERBS 'BE', 'HAVE', PAST",Can form negative statements of main verbs in the past continuous and past perfect with auxiliary verbs 'be' and 'have' + 'not/n't'. ► past continuous ► past perfect,"It was raining for seventy two hours and it wasn't going to stop. (Ukraine; B1 THRESHOLD; 2008; Russian; Pass)

I hadn't expected to receive a letter from her. (Mexico; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)"
1186,NEGATION,negation,B1,N/A,FORM: MENTAL PROCESS VERBS + CLAUSE,"Can use the negative forms of mental process verbs ('I don't think', 'I don't believe') followed by a complement clause, where the negative form is in the mental process verb rather than the complement clause.","But I don't think it'll help you. (Kazakhstan; B1 THRESHOLD; 2009; Kazakh; Pass)

I don't think I'll live here forever because I intend to move to Curitiba, a southern city of my country. (Brazil; B1 THRESHOLD; 2007; Portuguese; Pass)

I don't believe that the suitcase will be returned to me. (Czech Republic; B1 THRESHOLD; 2006; Czech; Pass)"
1187,NEGATION,negation,B1,N/A,FORM: QUESTIONS,Can use negative question forms in main clauses and question tags. ► questions,"Can't you go with your parents some time and with your friends later? (Spain; B1 THRESHOLD; 2008; Spanish - European; Pass)

Don't you think it's fun? (Uruguay; B1 THRESHOLD; 2003; Pass)

Aren't you excited about it? (Uruguay; B1 THRESHOLD; 2003; Pass)

You're free on Saturday , aren't you? (Vietnam; B1 THRESHOLD; 2009; Vietnamese; Pass)

I think it would be fantastic, wouldn't it? (Italy; B1 THRESHOLD; 2008; Italian; Pass) "
1188,NEGATION,negation,B1,N/A,USE: SEEKING AGREEMENT,Can use negative questions and question tags to involve the listener/reader by seeking agreement or checking something.,"Isn't it marvellous? (France; B1 THRESHOLD; 2003; French; Pass)

Don't you think it's fantastic? (Italy; B1 THRESHOLD; 2008; Italian; Pass)

You love books, don't you? (Italy; B1 THRESHOLD; 2005; Italian; Pass)"
1189,NEGATION,negation,B1,2,FORM: PRONOUNS,Can use an increasing range of indefinite pronouns in negative contexts.,"I said I had nothing, but he didn't believe me. (Argentina; B1 THRESHOLD; 2007; Spanish - Latin American; Pass)

I haven't seen anything yet. (Georgia (Republic of); B1 THRESHOLD; 2007; Georgian; Pass)

I didn't tell anyone about this story at first. (Thailand; B1 THRESHOLD; 2009; Thai; Pass)"
1190,NEGATION,negation,B1,N/A,FORM: ADVERBS,"Can use adverbs 'ever', 'never', 'yet', 'still' in negative contexts.","Nobody will ever know who that man was. (Chile; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)

I stayed there for two weeks and it never rained. (Argentina; B1 THRESHOLD; 1999; Spanish - Latin American; Pass)

I haven't decided yet. (Japan; B1 THRESHOLD; 2001; Japanese; Pass)

But I still don't believe her. (Brazil; B1 THRESHOLD; 2004; Portuguese; Pass)"
1191,NEGATION,negation,B1,N/A,"FORM: 'NOT', NON FINITE AND ELLIPTED CLAUSES",Can use 'not' before a non-finite or ellipted clause.,"But every time a small envelope arrived, I ripped it open as fast as I could. Not this time. (Germany; B1 THRESHOLD; 2008; German; Pass)

I would like to apologise for not being able to attend on Friday 13th June for my visit. (Iran; B1 THRESHOLD; 2003; Farsi; Pass)

The picnic will be held in the park three kilometres away from the city center so it will be quiet and not crowded. (Vietnam; B1 THRESHOLD; 2009; Vietnamese; Pass)

Well, I think it will be better for you to go to a large school in the centre of the town and not to the small school. (Peru; B1 THRESHOLD; 2008; Spanish - Latin American; Pass)"
1192,NEGATION,negation,B2,N/A,"FORM/USE: 'NOT', EMPHASIS",Can use uncontracted 'not' for emphasis or in formal contexts.,"Do not take on too many assignments at a time. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

I cannot agree with you Mr Brown. (Poland; B2 VANTAGE; 2004; Polish; Pass)

Keeping them in zoos will not help them. (Spain; B2 VANTAGE; 1993; Spanish - European; Pass)"
1193,NEGATION,negation,B2,N/A,"FORM/USE: 'NEVER', INVERTED FRONT POSITION, FOCUS","Can use 'never' in front position followed by an inverted subject (most commonly 'I') + main verb, to give focus. ","Never have I seen such a realistic and impressive film before. (Argentina; B2 VANTAGE; 2008; Spanish - Latin American; Pass)

Never had I thought that my parents would do this to me. (Netherlands; B2 VANTAGE; 1993; Dutch; Fail)"
1194,NEGATION,negation,B2,N/A,FORM/USE: 'NEITHER ... NOR',"Can use 'neither ... nor' to connect two words, phrases or clauses, often to give emphasis or focus.","Neither you nor I would like that. (Sweden; B2 VANTAGE; 1993; Swedish; Pass)

We can neither eat nor drink during the lessons. (Poland; B2 VANTAGE; 2000; Polish; Pass)

I have neither climbed nor surfed before, so that would be very exciting for me. (Sweden; B2 VANTAGE; 2000; Swedish; Pass)"
1195,NEGATION,negation,B2,N/A,"FORM: 'NEITHER OF', 'NONE OF' + PRONOUN",Can use negative forms 'neither of' and 'none of' + pronoun or noun phrase with the affirmative form of the verb.,"Neither of us is liable in this case. (Czech Republic; B2 VANTAGE; 2007; Slovak; Pass)

Moreover, none of my friends are interested therefore there is no one I can talk to. (Japan; B2 VANTAGE; 1993; Japanese; Pass)

We even met a French group and as none of them spoke English, we stayed with them to translate what they were asked. (France; B2 VANTAGE; 1993; French; Pass)"
1196,NEGATION,negation,C1,N/A,"FORM: 'NONE', SUBSTITUTION",Can use negative pronoun 'none' to substitute for subject and object pronouns or noun phrases. ► pronouns: substitution,"In fact, there are none, but the hills that do exist can be dubbed mountains - just because there are none... (Russia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2005; Russian; Pass)

Concerning your question about any special requirements of some students - I am glad that I am able to tell you that there are none this year. (Germany; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1998; German; Pass)

Problems when using English? None. (Spain; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Spanish - European; Pass)"
1197,NEGATION,negation,C1,N/A,"FORM: 'NOT ALL', 'NOT EVERY'","Can use 'not with indefinite pronouns 'everyone' and 'everything' and determiners 'every', 'all'.","Not everyone likes sports or music. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2009; Greek; Pass)

Not everything was as good as we expected. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Polish; Pass)

Not all students, though, can attend the centre as it is not always open, and their lessons finish at 5 pm, the closing time of the centre. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Greek; Pass)

Not all of us have got the fighting spirit to visit the gym regularly, but many of us would like to have a healthy look. (Sweden; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1999; Swedish; Pass)

Not every cyclist is a danger to the public as most of them obey all rules and respect other road users. (C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Slovak; Pass)"
1198,NEGATION,negation,C1,N/A,FORM/USE: 'NOT ONLY ... (BUT) ALSO' WITH INVERSION,"Can use auxiliary 'do' + inverted subject after 'not only', to give focus.","Not only was it in a wonderful location, with extraordinary views, but it was also very accessible and the shops were really near. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2009; Greek; Pass)

Not only do they have the biggest turnover overall, they also managed to increase it constantly from 2000 to 2002. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; German; Pass)"
1199,NEGATION,negation,C1,N/A,"FORM/USE: 'NOT' + STANCE ADVERB, HEDGING","Can use 'not' + stance adverb, often  in a mid position, to soften the directness of a statement.","This is not necessarily the way the older generation would see it, though. (Slovenia; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Slovene; Pass)

Being a passionate student of the English language, you do not necessarily need a teacher to guide you through the meanders of English. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2001; Polish; Pass)

I'm not sure what exactly they would expect us to do at the campsite, but organising the entertainment is not really my thing. (Austria; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; German; Pass)

Personally, I do not actually think that this relationship will change. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Greek; Pass)"
1200,NEGATION,negation,C1,N/A,USE: FORMAL,"Can use '(very) few' meaning 'not many' to refer to people in formal written contexts, often reports or surveys. ","They were sent to Britain to improve their English but few had any real contact with the language. (Sweden; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Swedish; Pass)

English is the most spoken language nowadays and although most of the people can speak a bit of English, very few speak it in the right way. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Greek; Pass)

The Greeks have always been a tortured folk; everyone tried to conquer them, but few managed. (Greece; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; Greek; Pass)"
1201,NEGATION,negation,C1,N/A,"FORM/USE: 'WHATSOEVER', EMPHASIS",Can use 'whatsoever' after a negative form for emphasis.,"This means that nothing shall change for the employees, there shall be no implication whatsoever for their rights stipulated in their employment contracts. (Czech Republic; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2007; Czech; Pass)

Organising the entertainment would be rather fun, whilst waiting tables would be boring and we have no experience whatsoever. (Brazil; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; Portuguese; Pass)"
1202,NEGATION,negation,C2,N/A,"FORM/USE: 'NOT A' + NOUN, EMPHASIS","Can use 'not a' + noun, often with a following  passive structure, for emphasis.","Not a single noise could be heard from inside of any of the rooms. (Argentina; C2 MASTERY; 2000; Spanish - Latin American; Pass)

Not a long time passes before another Polish city, Warsaw, hosts a festival. (Poland; C2 MASTERY; 2003; Polish; Pass)

Not a single member of the group would have imagined that the ""Luxury coach"" would break down and leave them stranded in the middle of nowhere. (Argentina; C2 MASTERY; 2001; Spanish - Latin American; Pass)"
1203,NEGATION,negation,C2,N/A,"FORM/USE: 'DON'T YOU ...', WARNING",Can use a negative imperative form with 'you' to give a warning or reprimand.,"Don't you ever do that again! (Cyprus; C2 MASTERY; 2001; Greek; Pass)

Don't you dare! (Portugal; C2 MASTERY; 1993; Portuguese; Pass)

Don't you dare forget me, I want letters from you promptly, understand! (Korea, South; C2 MASTERY; 1998; Korean; Pass)"
1204,NEGATION,negation,C2,N/A,FORM/USE: 'NEITHER',"Can use 'Neither' or 'Nor' + with 'do' or 'be' + inverted subject to add to a previous related negative clause, to focus on an additional negative factor.","There are also considerable disturbances during day-time. It is, for example, not possible to lead a conversation, e.g. on the veranda, without shouting. Nor is it possible to watch television peacefully without the thunderous noise in the background. (Germany; C2 MASTERY; 1993; German; Pass)

At first, I didn?t pay attention to the large number of magazines and newspapers she subscribed to. Neither did I oppose her 'need' to get new clothes every month. (Spain; C2 MASTERY; 1998; Catalan; Pass)"
1205,NEGATION,negation,C2,N/A,"FORM/USE: 'IN THE LEAST', EMPHASIS",Can use 'in the least' after a negative form for emphasis.,"She has lost her little brother but that does not discourage her in the least. (Greece; C2 MASTERY; 2001; Greek; Pass)

Most of the times, the director of a television channel is not in the least interested in the quality, but only in the matter of how many people watch their programmes. (Greece; B2 VANTAGE; 1993; Greek; Pass)

What others say doesn't matter in the least. (Brazil; C2 MASTERY; 1993; Portuguese; Fail)"
1206,MODALITY,could,A2,N/A,FORM: AFFIRMATIVE,Can use the affirmative form.,"You could come by bus, and we could meet at the bus station. (Spanish - European, A2 WAYSTAGE, Pass, 2010)

We could go to the museum near Cibeles. (Spanish - European, A2 WAYSTAGE, Pass, 2001)"
1207,MODALITY,could,A2,N/A,FORM: NEGATIVE,Can use the negative form.,"[talking about a party] Too bad you couldn't come. (Somali, A2 WAYSTAGE, Pass, 2004)

I couldn't close the window. (Chinese, A2 WAYSTAGE, Pass, 2010)

?he was ill, so he could not go to the game. (Swiss German, A2 WAYSTAGE, Pass, 2007)"
